timestamp,hostname,username,source_ip,source_port,event_type,action,status,message
2026-08-28T13:05:27.278530,srv-bastion,david,192.168.1.12,37602,authentication,login,success,Aug 28 13:05:27 srv-bastion sshd[2277]: Accepted password for david from 192.168.1.12 port 37602 ssh2
2026-08-28T13:07:19.278530,web-prod-01,emma,192.168.1.18,55320,authentication,login,success,Aug 28 13:07:19 web-prod-01 sshd[6148]: Accepted password for emma from 192.168.1.18 port 55320 ssh2
2026-08-28T13:07:37.278530,db-prod-01,frank,192.168.1.16,40949,authentication,login,success,Aug 28 13:07:37 db-prod-01 sshd[1567]: Accepted password for frank from 192.168.1.16 port 40949 ssh2
2026-08-28T13:09:18.278530,app-stage-02,alice,192.168.1.20,60728,authentication,login,success,Aug 28 13:09:18 app-stage-02 sshd[9971]: Accepted password for alice from 192.168.1.20 port 60728 ssh2
2026-08-28T13:09:42.278530,web-prod-01,bob,192.168.1.17,46952,authentication,login,success,Aug 28 13:09:42 web-prod-01 sshd[7970]: Accepted password for bob from 192.168.1.17 port 46952 ssh2
2026-08-28T13:10:56.278530,app-stage-02,helen,192.168.1.21,44209,authentication,login,success,Aug 28 13:10:56 app-stage-02 sshd[9733]: Accepted password for helen from 192.168.1.21 port 44209 ssh2
2026-08-28T13:11:42.278530,web-prod-01,grace,192.168.1.12,57990,authentication,login,success,Aug 28 13:11:42 web-prod-01 sshd[1816]: Accepted password for grace from 192.168.1.12 port 57990 ssh2
2026-08-28T13:13:40.278530,auth-server,helen,192.168.1.12,60218,authentication,login,success,Aug 28 13:13:40 auth-server sshd[4482]: Accepted password for helen from 192.168.1.12 port 60218 ssh2
2026-08-28T13:15:04.278530,srv-bastion,david,192.168.1.25,34947,authentication,login,success,Aug 28 13:15:04 srv-bastion sshd[1726]: Accepted password for david from 192.168.1.25 port 34947 ssh2
2026-08-28T13:16:56.278530,web-prod-01,alice,192.168.1.23,36638,authentication,login,success,Aug 28 13:16:56 web-prod-01 sshd[4956]: Accepted password for alice from 192.168.1.23 port 36638 ssh2
2026-08-28T13:17:26.278530,srv-bastion,ian,192.168.1.17,38817,authentication,login,success,Aug 28 13:17:26 srv-bastion sshd[6785]: Accepted password for ian from 192.168.1.17 port 38817 ssh2
2026-08-28T13:18:35.278530,web-prod-01,frank,192.168.1.24,48324,authentication,login,success,Aug 28 13:18:35 web-prod-01 sshd[2528]: Accepted password for frank from 192.168.1.24 port 48324 ssh2
2026-08-28T13:19:39.278530,srv-bastion,frank,192.168.1.16,33106,authentication,login,success,Aug 28 13:19:39 srv-bastion sshd[1763]: Accepted password for frank from 192.168.1.16 port 33106 ssh2
2026-08-28T13:21:28.278530,db-prod-01,emma,192.168.1.17,31884,authentication,login,success,Aug 28 13:21:28 db-prod-01 sshd[7588]: Accepted password for emma from 192.168.1.17 port 31884 ssh2
2026-08-28T13:21:47.278530,srv-bastion,emma,192.168.1.17,43555,authentication,login,success,Aug 28 13:21:47 srv-bastion sshd[1105]: Accepted password for emma from 192.168.1.17 port 43555 ssh2
2026-08-28T13:22:58.278530,db-prod-01,ian,192.168.1.20,38848,authentication,login,success,Aug 28 13:22:58 db-prod-01 sshd[1727]: Accepted password for ian from 192.168.1.20 port 38848 ssh2
2026-08-28T13:24:50.278530,auth-server,david,192.168.1.14,59832,authentication,login,success,Aug 28 13:24:50 auth-server sshd[3303]: Accepted password for david from 192.168.1.14 port 59832 ssh2
2026-08-28T13:26:10.278530,db-prod-01,helen,192.168.1.29,31954,authentication,login,success,Aug 28 13:26:10 db-prod-01 sshd[4669]: Accepted password for helen from 192.168.1.29 port 31954 ssh2
2026-08-28T13:27:59.278530,srv-bastion,ian,192.168.1.21,45933,authentication,login,success,Aug 28 13:27:59 srv-bastion sshd[9430]: Accepted password for ian from 192.168.1.21 port 45933 ssh2
2026-08-28T13:28:19.278530,auth-server,jack,192.168.1.23,35509,authentication,login,success,Aug 28 13:28:19 auth-server sshd[9974]: Accepted password for jack from 192.168.1.23 port 35509 ssh2
2026-08-28T13:29:07.278530,srv-bastion,ian,192.168.1.26,39102,authentication,login,success,Aug 28 13:29:07 srv-bastion sshd[7640]: Accepted password for ian from 192.168.1.26 port 39102 ssh2
2026-08-28T13:30:21.278530,srv-bastion,jack,192.168.1.22,61168,authentication,login,success,Aug 28 13:30:21 srv-bastion sshd[3658]: Accepted password for jack from 192.168.1.22 port 61168 ssh2
2026-08-28T13:31:52.278530,web-prod-01,ian,192.168.1.12,39264,authentication,login,success,Aug 28 13:31:52 web-prod-01 sshd[4667]: Accepted password for ian from 192.168.1.12 port 39264 ssh2
2026-08-28T13:32:38.278530,srv-bastion,alice,192.168.1.21,53664,authentication,login,success,Aug 28 13:32:38 srv-bastion sshd[3453]: Accepted password for alice from 192.168.1.21 port 53664 ssh2
